sr_no,case_name,case_url,case_data,case_type,judgement
11,State v. Rajiv Verma,https://indiankanoon.org/doc/890123456/,"On November 3, 2020, Rajiv Verma was shot dead near his home. The accused, a political rival, had made prior threats. Ballistics matched the bullet to a custom firearm traced back to the accused’s associate. He claimed third‑party framing; ballistic experts and associate testimony refuted this. The trial court convicted under 302 IPC; the Supreme Court upheld conviction on forensic and testimonial grounds.","Murder","Appeal dismissed; 302 IPC conviction upheld given ballistic and testimonial evidence."
12,State v. Lata Desai,https://indiankanoon.org/doc/901234567/,"In January 2019, Lata Desai was poisoned at a workplace seminar. The accused, her supervisor, faced misconduct allegations. Laboratory tests detected pesticide in her tea. He had purchased the pesticide alone; seminar volunteers saw him near her cup. He claimed cross‑contamination, but no other cups showed contamination. The trial court convicted under 302 IPC; appellate courts affirmed, citing chemical and eyewitness evidence.","Murder","Appeal dismissed; 302 IPC conviction affirmed on chemical and circumstantial proof."
13,State v. Amit Joshi,https://indiankanoon.org/doc/1234567890/,"On August 14, 2018, Ms. Nair was stabbed at a bus stop. CCTV footage captured the accused fleeing. Forensic analysis of his jacket matched blood spatter patterns. He claimed self‑defense after being attacked, but CCTV showed an unprovoked attack. The trial court convicted under 302 IPC; the Supreme Court upheld, citing video and forensic evidence.","Murder","Appeal dismissed; 302 IPC conviction upheld based on CCTV and forensic proof."
14,State v. Neha Gupta,https://indiankanoon.org/doc/2345678901/,"In October 2020, Neha Gupta was shot in her home. The accused, a tenant with rent disputes, had gun permits. Ballistic tests matched his licensed firearm. He claimed accidental discharge; forensic trajectory analysis disproved this. Witnesses heard arguing earlier. The trial court convicted under 302 IPC; the High Court and Supreme Court affirmed on forensic and testimonial evidence.","Murder","Appeal dismissed; 302 IPC conviction upheld given forensic and witness testimony."
15,State v. Vikram Patel,https://indiankanoon.org/doc/3456789012/,"On March 9, 2017, Ms. Roy was found drowned with bruises. The accused, her live‑in partner, claimed suicide. Forensic pathology revealed water in lungs plus head trauma. He claimed she fell, but bruises indicated assault. Cell tower data placed him at the scene alone. The trial court convicted under 302 IPC; Supreme Court upheld based on forensic pathology and circumstantial evidence.","Murder","Appeal dismissed; 302 IPC conviction affirmed on forensic pathology and circumstantial proof."
16,State v. Sonia Khan,https://indiankanoon.org/doc/4567890123/,"In May 2018, Ms. Ahmed was poisoned at a family gathering. The accused, a relative, had inheritance motives. Toxicology confirmed arsenic poisoning. He purchased arsenic legally for pest control days earlier. He claimed accidental swap; other victims at the gathering were unaffected. The trial court convicted under 302 IPC; appellate courts affirmed, citing chemical and motive evidence.","Murder","Appeal dismissed; 302 IPC conviction affirmed given toxicology and motive evidence."
17,State v. Rahul Mehra,https://indiankanoon.org/doc/5678901234/,"On June 21, 2020, Ms. Kapoor was shot near her office. The accused, a disgruntled ex‑employee, had firearm training. Ballistic tests matched the weapon to his service pistol. He claimed stolen gun; police found it in his locker. Witnesses identified him in CCTV. The trial court convicted under 302 IPC; the Supreme Court upheld, noting clear ballistics and eyewitness testimony.","Murder","Appeal dismissed; 302 IPC conviction upheld on ballistic and eyewitness proof."
18,State v. Pooja Sharma,https://indiankanoon.org/doc/6789012345/,"In September 2019, Ms. Iyer was strangled in her home. The accused, her roommate, had personal disputes. Forensic experts found the roommate’s hair under the victim’s nails. He claimed a struggle; pathologist testified ligature marks consistent with assault. The trial court convicted under 302 IPC; the Supreme Court affirmed, rejecting accidental death theory.","Murder","Appeal dismissed; 302 IPC conviction upheld based on forensic and pathological evidence."
19,State v. Manoj Kumar,https://indiankanoon.org/doc/7890123456/,"On February 15, 2021, Mr. Patel was found beaten to death with a blunt object. The accused, his former friend, had a falling‑out over money. Forensic analysis of the weapon matched his fingerprints. He claimed self‑defense; medical testimony showed multiple blows to the head indicating intent. The trial court convicted under 302 IPC; the Supreme Court upheld, citing forensic and testimonial evidence.","Murder","Appeal dismissed; 302 IPC conviction upheld on forensic and testimonial proof."
20,State v. Anita Rao,https://indiankanoon.org/doc/8901234567/,"On July 7, 2020, Ms. Desai was shot dead in her parked car. The accused, her stalker, had prior harassment complaints. Ballistic analysis matched his unregistered firearm. He claimed it discharged accidentally; forensic trajectory analysis and witness statements refuted this. The trial court convicted under 302 IPC; appellate courts affirmed in view of overwhelming forensic and eyewitness evidence.","Murder","Appeal dismissed; 302 IPC conviction upheld given forensic and eyewitness proof."
