sr_no,case_name,case_url,case_data,case_type,judgement
11,"Directions of Supreme Court on Child Labour","https://labour.gov.in/childlabour/directions-supreme-court","In 1996, the Supreme Court issued directives for eliminating child labour, including identification of working children, their withdrawal from hazardous work, education, and rehabilitation. Employers were mandated to contribute to a welfare fund for each child employed.","Child Labour","Supreme Court directed comprehensive measures for child labour eradication; mandated employer contributions to welfare fund."
12,"Small Change Report by HRW","https://www.hrw.org/reports/2003/india/India0103-06.htm","Human Rights Watch's report highlighted the ongoing issue of child labour in India, despite legal prohibitions. It emphasized the need for stricter enforcement, rehabilitation programs, and societal change to address the root causes of child labour.","Child Labour","HRW report called for stricter enforcement and comprehensive rehabilitation to combat persistent child labour issues."
13,"Child Labour Case: 1993 Indlaw SC 1056","https://www.scribd.com/document/62647981/MCMehtaVsStateOfTN-EditedVersion-1996IndlawSC1746","This case addressed the employment of children in hazardous industries, leading to Supreme Court directives for their removal, education, and employer penalties. It reinforced the constitutional mandate against child labour.","Child Labour","Supreme Court mandated removal of children from hazardous work and imposed penalties on employers; upheld constitutional protections."
14,"From Courtroom Litigator to Global Child Rights Crusader","https://timesofindia.indiatimes.com/city/delhi/from-courtroom-litigator-to-global-child-rights-crusader/articleshow/120940331.cms","Bhuwan Ribhu, a lawyer and child rights activist, has filed over 60 public interest cases to protect children's rights. His efforts have led to significant legal reforms, including the definition of trafficking and juvenile justice reforms.","Child Labour","Bhuwan Ribhu's legal activism resulted in major reforms in child protection laws and enforcement mechanisms."
15,"Child Labour in Bangle Industry","https://indiankanoon.org/doc/92102948/","The Supreme Court addressed the exploitation of children in the bangle industry, directing the implementation of certification programs to ensure child labour-free products and stricter enforcement of labour laws.","Child Labour","Court mandated certification for child labour-free products and stricter enforcement in the bangle industry."
16,"Child Labour in Carpet Industry","https://new.escr-net.org/caselaw/2015/bandhua-mukti-morcha-v-union-india-ors-1997-10-scc-549","The court recognized the widespread use of child labour in the carpet industry and ordered measures for their rehabilitation, including education and health facilities, emphasizing the state's duty to protect children.","Child Labour","Court ordered rehabilitation measures for child labourers in carpet industry; emphasized state's protective role."
17,"Child Labour in Fireworks Industry","https://lawtimesjournal.in/m-c-mehta-v-state-of-tamil-nadu-and-others-1996-the-child-labour-case/","The case highlighted the dangers faced by children in the fireworks industry, leading to Supreme Court directives for their removal, education, and employer accountability.","Child Labour","Supreme Court directed removal of children from fireworks industry and imposed accountability on employers."
18,"Child Labour in Sivakasi","https://www.scribd.com/document/62647981/MCMehtaVsStateOfTN-EditedVersion-1996IndlawSC1746","The court addressed the employment of children in Sivakasi's match and fireworks factories, mandating their withdrawal, education, and employer penalties, reinforcing constitutional mandates.","Child Labour","Court mandated withdrawal of children from hazardous work in Sivakasi and imposed penalties on employers."
19,"Child Labour in Mines","https://lextechsuite.com/Hayath-Khan-Versus-The-Deputy-Labour-Commissioner-and-Others-2005-11-11","The case reinforced the prohibition of child labour in mines, citing various laws and emphasizing the constitutional mandate to protect children from exploitation.","Child Labour","Court reinforced prohibition of child labour in mines; emphasized constitutional protections for children."
20,"Child Labour in Beedi Industry","https://lextechsuite.com/Hayath-Khan-Versus-The-Deputy-Labour-Commissioner-and-Others-2005-11-11","The court addressed the employment of children in the beedi industry, highlighting legal prohibitions and the need for strict enforcement to protect children's rights.","Child Labour","Court highlighted legal prohibitions on child labour in beedi industry; called for strict enforcement to protect children."
